List of Approved ARTS Courses ,,,,,,
,,,,,,
Department/Program,Course #,Name of Course,Instructor,Credit hours,Year approved,Year of reapplication
EDUC,304,Teaching Global Citizenship,,,,
EDUC,315,Art of the Young Child,Sidelnick,3,,
,,,,,,
English,,,,,,
LANG,374,Hybrid and Experimental Forms in Memoir,McGaha,4,,
LANG,361,Poetry Workshop,Forde,4,,
LIT,346,DI: Gender and the American Road Narrative,Horvitz,4,,
LIT,346,Readings in Gender and Sexuality,"Horvitz, McGaha",4,,
LIT,374,"The World Could Be Otherwise: Imagination, Spirit, Art",Chess,4,,
,,,,,,
French,,,,,,
FREN,374,"French Society: Past, Present and Future",Weems,4,Maymester 2025,
,,,,,,
German,,,,,,
GERM,374,HON: (Re) Constructing the Past-How do we Remember?,Criser,4,,
GERM,390,Berlin: City of the Arts,Crutchfield,4,,
GERM,390,German History Through Women's Film,Killian,4,,
,,,,,,
Health & Wellness,,,,,,
HS,373,More than Mindfulness: Mandalas and their Analogs,Batada,3,,
,,,,,,
History,,,,,,
HIST,374,German Cinema,Roubinek,4,,
HIST,374,Berlin as a Space of History,Roubinek,4,,
,,,,,,
Honors,,,,,,
HON,373,Contemplation and Imagination,Chess,3,,
HON,373,Holocaust and the Arts,Chess,3,,
HON,373,"Into the Fold: Science, Art & Spirit of Origami",Bahls,3,,
HON,373,Oulipo and Constrained Literature,Bahls,3,,
HON,373,The Heart and the Matter: Poetry and Spirituality,Chess,3,,
HON,373,DI: The Spicy Bard: Shakespeare in Bollywood Masala Films,Gusain,,,
,,,,,,
Interdisciplinary Studies,,,,,Fall 2023,
INTS,374,DI:ST: Indigenous Pacific Women's Writing,Jansen,4,,
,,,,,,
Music,,,,,,
MUSC,113,University Chorale,Taft,1,,
MUSC,114,Asheville Singers,Galloway,1,,
MUSC,121,Wind Ensemble,Multiple Faculty,1,,
MUSC,122,Jazz Band,"Bares, W",1,,
MUSC,123,Ensemble,Multiple Faculty,1,,
MUSC,125,Studio 18: Vocal Jazz Ensemble,Multiple Faculty,1,,
MUSC,128,Percussion Ensemble,Richmond,1,,
MUSC,129,Jazz Ensemble,Multiple Faculty,1,,
MUSC,140,Music Appreciation,Richmond,3,,
MUSC,343,African American Music: Slavery to Swing,"Bares, W",4,,
MUSC,344,African American Music: R&B to Hip Hop,"Bares, W",4,,
MUSC,345,"Defining the Beatles: Music, Image and Influence",Felix,4,,
MUSC,346,"The Grateful Dead: Music, Counterculture and Society",Felix,4,,
MUSC,348,Tonal Music: Origins and Early Practice,King,4,,
MUSC,349,Tonal and Post-Tonal Musical Practice ,King,4,,
MUSC,350,North American Roots Music and North Carolina,King,4,,
MUSC,367,Ethnomusicology I,King,4,,
MUSC,368,"Ethnomusicology II: Music, Power, and Social Identity",King,4,,
MUSC,366,History of Music in Film,Galloway,4,,
MUSC,373,ST: Musical Theatre Workshop,Galloway,4,,
MUSC,374,ST: Women of Song,Galloway,4,,
,,,,,,
New Media,,,,,,
NM,142,New Media History and Theory,Cloninger,4,,
NM,144,History of Animation: Pencils to Pixels,Oakley,4,,
NM,146,Video Game Studies,Kusek,4,,
NM,344,History of Design,Cloninger,4,,
NM,374,New Media Research: Netherlands & Belgium,Cloninger,4,Study Abroad 2025,"was approved 7 years ago, but was not included on this list"
NM,374,New Media Production: Netherlands & Belgium,Kusek,4,Study Abroad 2025,"was approved 7 years ago, but was not included on this list"
,,,,,,
Philosophy,,,,,,
PHIL,310,Philosophies of Art,Butler,4,,
,,,,,,
Political Science,,,,,,
POLS,315,Amplified Voices: Music as Political Expression,Shrode,4,,
POLS,337,ReStorying Community,Betsalel,4,,
POLS,374,Human Rights and Artistic Expression,Betsalel,4,,
POLS,374,The Arts and Politics of the Civil Rights Era,Betsalel,4,,
,,,,,,
Religious Studies,,,,,,
